Thumbnail,ID,Name,SKU,Price,Qty,Visibility,Status,"Special Price",Color,"Shipping Group",Type,Height,"SKU for Parent Description and Specs",Categories,Action
"<img src=""https://www.industrywest.com/media/catalog/product/cache/0/thumbnail/70x/9df78eab33525d08d6e5fb8d27136e95/0/2/02_1_.jpg"" alt="""" width=""70"" height=""70"" /></a>",2514,"Henry Bar Stool",MS-570BS1-H75-STW-GUNMETAL,$195.00,150,"Catalog, Search",Enabled,,Gunmetal,,"Simple Product",Bar,,"<div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Stools</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Stools/Henry Stool</div>","<a href=""https://www.industrywest.com/lightspeed.php/ampgrid/adminhtml_product/edit/id/2514/"">Edit</a>"
"<img src=""https://www.industrywest.com/media/catalog/product/cache/0/thumbnail/70x/9df78eab33525d08d6e5fb8d27136e95/0/4/04_1_.jpg"" alt="""" width=""70"" height=""70"" /></a>",2513,"Henry Bar Stool",MS-570BS1-H75-STW-WHITE,$195.00,150,"Catalog, Search",Enabled,,White,,"Simple Product",Bar,,"<div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Stools</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Stools/Henry Stool</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals/Stools</div>","<a href=""https://www.industrywest.com/lightspeed.php/ampgrid/adminhtml_product/edit/id/2513/"">Edit</a>"
"<img src=""https://www.industrywest.com/media/catalog/product/cache/0/thumbnail/70x/9df78eab33525d08d6e5fb8d27136e95/1/8/18_20150204-industrywest_add_chairs-26_sides.jpg"" alt="""" width=""70"" height=""70"" /></a>",2508,"Transit Chair",G8-BLK-WAL,$165.00,163,"Catalog, Search",Enabled,,"Black on Walnut",,"Simple Product",,,"<div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Chairs</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Chairs/Transit Chair</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals/Chairs</div>","<a href=""https://www.industrywest.com/lightspeed.php/ampgrid/adminhtml_product/edit/id/2508/"">Edit</a>"
"<img src=""https://www.industrywest.com/media/catalog/product/cache/0/thumbnail/70x/9df78eab33525d08d6e5fb8d27136e95/1/4/14_20150130-slingchair_beechonmint_angle_1_sides.jpg"" alt="""" width=""70"" height=""70"" /></a>",2507,"Sling Chair",G42-PEPPERMINT-B.ASH,$175.00,144,"Catalog, Search",Enabled,,Peppermint,,"Simple Product",,,"<div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Chairs</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Chairs/Sling Chair</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals/Chairs</div>","<a href=""https://www.industrywest.com/lightspeed.php/ampgrid/adminhtml_product/edit/id/2507/"">Edit</a>"
"<img src=""https://www.industrywest.com/media/catalog/product/cache/0/thumbnail/70x/9df78eab33525d08d6e5fb8d27136e95/1/2/12_20150130-slingchair_ashonblack_angle_1_sides.jpg"" alt="""" width=""70"" height=""70"" /></a>",2506,"Sling Chair",G42-BLK-B.ASH,$175.00,200,"Catalog, Search",Enabled,,Black,,"Simple Product",,,"<div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Chairs</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Chairs/Sling Chair</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals/Chairs</div>","<a href=""https://www.industrywest.com/lightspeed.php/ampgrid/adminhtml_product/edit/id/2506/"">Edit</a>"
"<img src=""https://www.industrywest.com/media/catalog/product/cache/0/thumbnail/70x/9df78eab33525d08d6e5fb8d27136e95/1/3/13_20150130-slingchair_ashonwhite_angle_2_sides.jpg"" alt="""" width=""70"" height=""70"" /></a>",2505,"Sling Chair",G42-WHT-B.ASH,$175.00,162,"Catalog, Search",Enabled,,White,,"Simple Product",,,"<div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Chairs</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Chairs/Sling Chair</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals/Chairs</div>","<a href=""https://www.industrywest.com/lightspeed.php/ampgrid/adminhtml_product/edit/id/2505/"">Edit</a>"
"<img src=""https://www.industrywest.com/media/catalog/product/cache/0/thumbnail/70x/9df78eab33525d08d6e5fb8d27136e95/1/7/17_20150204-industrywest_add_chairs-40.jpg"" alt="""" width=""70"" height=""70"" /></a>",2504,"Transit Table Stool",G8C-H45-BLK-WAL,$155.00,48,"Catalog, Search",Enabled,,"Black on Walnut",,"Simple Product",,,"<div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Stools</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Stools/Transit Stool</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals/Stools</div>","<a href=""https://www.industrywest.com/lightspeed.php/ampgrid/adminhtml_product/edit/id/2504/"">Edit</a>"
"<img src=""https://www.industrywest.com/media/catalog/product/cache/0/thumbnail/70x/9df78eab33525d08d6e5fb8d27136e95/1/6/16_20150130-transittablestool_walnutonblack_front_2.jpg"" alt="""" width=""70"" height=""70"" /></a>",2503,"Transit Counter Stool",G8C-H61-BLK-WAL,$165.00,10,"Catalog, Search",Enabled,,"Black on Walnut",,"Simple Product",,,"<div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Stools</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Stools/Transit Stool</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals/Stools</div>","<a href=""https://www.industrywest.com/lightspeed.php/ampgrid/adminhtml_product/edit/id/2503/"">Edit</a>"
"<img src=""https://www.industrywest.com/media/catalog/product/cache/0/thumbnail/70x/9df78eab33525d08d6e5fb8d27136e95/1/5/15_20150130-transitcounterstool_walnutonblack_front_2.jpg"" alt="""" width=""70"" height=""70"" /></a>",2502,"Transit Bar Stool",G8B-H76-BLK-WAL,$175.00,10,"Catalog, Search",Enabled,,"Black on Walnut",,"Simple Product",,,"<div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Stools</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Stools/Transit Stool</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals/Stools</div>","<a href=""https://www.industrywest.com/lightspeed.php/ampgrid/adminhtml_product/edit/id/2502/"">Edit</a>"
"<img src=""https://www.industrywest.com/media/catalog/product/cache/0/thumbnail/70x/9df78eab33525d08d6e5fb8d27136e95/1/_/1__120150127-chair_299_copy.jpg"" alt="""" width=""70"" height=""70"" /></a>",2197,"St. Clair Side Table",FA-6020-2-BLACK/WHITEMARBLE,$185.00,1,"Catalog, Search",Enabled,,Black,,"Simple Product",,,"<div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Tables</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Tables/Side Tables</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals/Tables</div>","<a href=""https://www.industrywest.com/lightspeed.php/ampgrid/adminhtml_product/edit/id/2197/"">Edit</a>"
